Lacedemona	pu:6:139
Lamagna	i:20:62
Lamone	i:27:49
Lancialotto	i:5:128
Lanfranchi	i:33:32
Langia	pu:22:112
Lano	i:13:120
Lapi	pa:29:103
Lapo Salterello	pa:15:128
Laterano	i:27:86	pa:31:35
Latin	i:29:91	pu:7:16
Latino	i:4:125	i:29:88
Latona	pu:20:131	pa:10:67	pa:22:139	pa:29:1
Lavina	i:4:126	pu:17:37	pa:6:3
Leandro	pu:28:73
Learco	i:30:10
Leda	pa:27:98
Lemosì	pu:26:120
Lenno	i:18:88
Leon	pa:16:37
Leone	pa:21:14
Lerice	pu:3:49
Letè	i:14:131	i:14:136	pu:26:108	pu:28:130	pu:30:143	pu:33:96	pu:33:123
Levì	pu:16:132
Lia	pu:27:101
Libano	pu:30:11
Libia	i:24:85
Libicocco	i:21:121	i:22:70
Libra	pu:27:3	pa:29:2
Ligurgo	pu:26:94
Lilla	pu:20:46
Lin	pa:27:41
Lino	i:4:141
Livïo	i:28:12
Lizio	pu:14:97
Loderingo	i:23:104
Logodoro	i:22:89
Lombardi	i:22:99
Lombardo	pu:16:46	pa:17:71
Lorenzo	pa:4:83
Luca	pu:21:7
Lucano	i:4:90	i:25:94
Lucca	i:18:122	i:33:30	pu:24:35
Lucia	i:2:97	i:2:100	pu:9:55	pa:32:137
Lucifero	i:31:143	i:34:89
Lucrezia	i:4:128	pa:6:41
Luigi	pu:20:50
Luni	i:20:47	pa:16:73
Làchesis	pu:25:79
Macabeo	pa:18:40
Maccabei	i:19:86
Maccario	pa:22:49
Macra	pa:9:89
Madïan	pu:24:126
Maggior Fortuna	pu:19:4
Maia	pa:22:144
Maiolica	i:28:82
Malacoda	i:21:76	i:21:79
Malebolge	i:18:1	i:21:5	i:24:37	i:29:41
Malebranche	i:21:37	i:22:100	i:23:23	i:33:142
Manfredi	pu:3:112
Manto	i:20:55
Mantüa	i:20:93	pu:6:72
Mar Rosso	i:24:90
Marcabò	i:28:75
Marcel	pu:6:125
Marchese	pu:24:31
Marco	pu:16:46	pu:16:130
